name,latitude,longitude,population,county,established,area_sq_km
Phoenix,33.4484,-112.0740,1608139,Maricopa,1868,1344.0
Tucson,32.2217,-110.9265,545975,Pima,1775,623.1
Mesa,33.4152,-111.8315,504258,Maricopa,1878,358.2
Chandler,33.3062,-111.8413,275987,Maricopa,1912,168.9
Gilbert,33.3528,-111.7890,267918,Maricopa,1920,168.7
Glendale,33.5387,-112.1860,248325,Maricopa,1892,154.4
Scottsdale,33.4942,-111.9261,241361,Maricopa,1894,477.6
Peoria,33.5806,-112.2374,190985,Maricopa,1954,464.1
Tempe,33.4255,-111.9400,195805,Maricopa,1871,103.6
Surprise,33.6292,-112.3679,143148,Maricopa,1960,279.6
Flagstaff,35.1983,-111.6513,76831,Coconino,1876,169.9
Yuma,32.6927,-114.6277,95548,Yuma,1854,295.8
Avondale,33.4356,-112.3496,87931,Maricopa,1946,114.8
Goodyear,33.4355,-112.3579,95294,Maricopa,1946,495.5
Lake Havasu City,34.4839,-114.3224,57144,Mohave,1963,117.2
Buckeye,33.3703,-112.5838,91502,Maricopa,1888,1016.2
Casa Grande,32.8795,-111.7574,57318,Pinal,1879,285.6
Sierra Vista,31.5552,-110.3032,45308,Cochise,1956,394.3
Maricopa,33.0581,-112.0476,62720,Pinal,1870,109.2
Oro Valley,32.3909,-110.9665,47070,Pima,1974,93.2
Prescott,34.5400,-112.4685,45827,Yavapai,1864,116.7
Apache Junction,33.4151,-111.5496,38499,Maricopa,1978,90.7
Fountain Hills,33.6089,-111.7251,25167,Maricopa,1970,47.6
Sedona,34.8697,-111.7610,9684,Coconino,1902,49.4
Page,36.9147,-111.4558,7532,Coconino,1957,40.2
